subject_name,correlation,RMSE,mean_error
2.0,0.9622380022707849,6.39,4.836
2.5,0.9627716920445026,6.063,4.478
3.0,0.96321016195507,5.679,4.042
3.5,0.9634909208112865,5.253,3.534
4.0,0.9635679926574623,4.808,2.96
4.5,0.9634098907590575,4.375,2.331
5.0,0.9630358753390243,3.997,1.66
5.5,0.9624237719560694,3.722,0.96
6.0,0.9616214225268739,3.594,0.247
6.5,0.9606733974226526,3.633,-0.466
absolute mean,0.9626443127742783,4.7514,2.5514
