subject_name,correlation,RMSE,mean_error
190803LiJiayi,0.9294971413589167,9.319,8.058
190806SunDongxiao,0.8883000052797265,12.4,11.085
190806WangDianxin,0.9104692371878663,7.651,5.414
190810LiuSensen,0.9292719011713708,7.244,4.506
190813Caolinfeng,0.9256393037639334,5.92,3.884
190813ZengJia,0.8739243516072148,6.882,3.257
190815WangHan,0.9263408408222711,11.341,9.992
190815QiuYue,0.926187030372255,6.42,-3.509
190824ZhangYaqian,0.9613109159948926,6.043,3.06
190816YangCan,0.8227764520132789,8.148,5.769
190820FuZhenzhen,0.7821045213147991,11.273,9.238
190820FuZhinan,0.8914325425250704,9.832,8.276
190822HeMing,0.898552163176485,7.674,4.127
absolute mean,0.8973697235836985,8.472846153846156,6.167307692307692
