subject_name,correlation,RMSE,mean_error
190803LiJiayi,0.987,2.384,-1.076
190806SunDongxiao,0.958,5.877,4.703
190806WangDianxin,0.981,2.473,-0.108
190810LiuSensen,0.983,2.758,0.965
190815WangHan,0.979,3.914,2.828
