subject_name,correlation,RMSE,mean_error
190803LiJiayi,0.989156482844999,2.95,2.213
190806SunDongxiao,0.9729451445116364,3.293,-0.452
190806WangDianxin,0.9895340116191081,2.369,-0.297
190810LiuSensen,0.9906362260127625,2.394,1.424
190813Caolinfeng,0.9911775352577588,1.875,-0.252
190813ZengJia,0.9860348193335086,2.429,-0.127
190815WangHan,0.9822472065048727,2.788,0.79
190815QiuYue,0.9886435322569719,3.751,-3.17
190824ZhangYaqian,0.9906090989425601,2.596,-0.716
190816YangCan,0.9722383183985409,3.282,-0.496
190820FuZhenzhen,0.9702345102203052,2.916,-0.423
190820FuZhinan,0.9684332313653191,5.06,2.781
190822HeMing,0.9863955422611771,3.043,-1.465
absolute mean,0.9829450507330398,2.9804615384615385,1.1235384615384616
